"AERT","Aeries Technology, Inc","Consulting Services","92.57M"
"AES","The AES Corporation","Utilities - Diversified","12.17B"
"AESI","Atlas Energy Solutions Inc.","Oil & Gas Equipment & Services","2.08B"
"AEVA","Aeva Technologies, Inc.","Software - Infrastructure","167.00M"
"AEYE","AudioEye, Inc.","Software - Application","267.64M"
"AEZS","Aeterna Zentaris Inc.","Biotechnology","18.14M"
"AFAR","Aura FAT Projects Acquisition Corp","Shell Companies","67.53M"
"AFBI","Affinity Bancshares, Inc.","Banks - Regional","136.03M"
"AFCG","AFC Gamma, Inc.","REIT - Specialty","181.04M"
"AFG","American Financial Group, Inc.","Insurance - Property & Casualty","10.72B"
"AFJK","Aimei Health Technology Co., Ltd Ordinary Share","Shell Companies","93.69M"
"AFL","Aflac Incorporated","Insurance - Life","56.39B"
"AFMD","Affimed N.V.","Biotechnology","71.42M"
"AFRI","Forafric Global PLC","Farm Products","299.97M"
"AFRM","Affirm Holdings, Inc.","Software - Infrastructure","7.96B"
"AFYA","Afya Limited","Education & Training Services","1.46B"
"AG","First Majestic Silver Corp.","Silver","1.47B"
"AGAE","Allied Gaming & Entertainment Inc.","Entertainment","59.17M"
"AGBA","AGBA Group Holding Limited","Asset Management","176.56M"
"AGCO","AGCO Corporation","Farm & Heavy Construction Machinery","6.68B"
"AGEN","Agenus Inc.","Biotechnology","118.23M"
"AGFY","Agrify Corporation","Farm & Heavy Construction Machinery","3.66M"
"AGI","Alamos Gold Inc.","Gold","7.31B"
"AGIO","Agios Pharmaceuticals, Inc.","Biotechnology","2.50B"
"AGL","agilon health, inc.","Medical Care Facilities","2.61B"
"AGM","Federal Agricultural Mortgage Corporation","Credit Services","2.08B"
"AGM.A","Federal Agricultural Mortgage Corporation","Credit Services","2.20B"
"AGMH","AGM Group Holdings Inc.","Computer Hardware","21.59M"
"AGNC","AGNC Investment Corp.","REIT - Mortgage","7.71B"
"AGO","Assured Guaranty Ltd.","Insurance - Specialty","4.33B"
"AGR","Avangrid, Inc.","Utilities - Regulated Electric","13.89B"
"AGRI","AgriFORCE Growing Systems Ltd.","Farm Products","4.04M"
"AGRO","Adecoagro S.A.","Farm Products","957.00M"
"AGS","PlayAGS, Inc.","Gambling","460.14M"
"AGX","Argan, Inc.","Engineering & Construction","925.72M"
"AGYS","Agilysys, Inc.","Software - Application","2.95B"
"AHCO","AdaptHealth Corp.","Medical Devices","1.47B"
"AHG","Akso Health Group","Medical Distribution","158.04M"
"AHH","Armada Hoffler Properties, Inc.","REIT - Diversified","784.76M"
"AHR","American Healthcare REIT, Inc.","REIT - Healthcare Facilities","770.34M"
"AHT","Ashford Hospitality Trust, Inc.","REIT - Hotel & Motel","45.82M"
"AI","C3.ai, Inc.","Software - Application","2.96B"
"AIEV","Thunder Power Holdings, Inc.","Shell Companies","3.29M"
"AIG","American International Group, Inc.","Insurance - Diversified","47.76B"
"AIHS","Senmiao Technology Limited","Credit Services","9.89M"
"AILE","iLearningEngines Inc.","Software - Infrastructure","1.05B"
"AIM","AIM ImmunoTech Inc.","Biotechnology","20.09M"
"AIMAU","Aimfinity Investment Corp. I","Shell Companies","97.19M"
